humidity,temperature,distance,sound_pressure_level
72,1,500,82.617
72,1,1000,74.947
72,1,1500,70.290
72,1,2000,66.852
72,1,2500,64.086
73,1,500,82.629
73,1,1000,74.967
73,1,1500,70.313
73,1,2000,66.877
73,1,2500,64.112
74,1,500,82.641
74,1,1000,74.986
74,1,1500,70.335
74,1,2000,66.901
74,1,2500,64.138
75,1,500,82.652
75,1,1000,75.005
75,1,1500,70.357
75,1,2000,66.925
75,1,2500,64.162
76,1,500,82.663
76,1,1000,75.024
76,1,1500,70.378
76,1,2000,66.948
76,1,2500,64.186
77,1,500,82.674
77,1,1000,75.042
77,1,1500,70.398
77,1,2000,66.970
77,1,2500,64.209
78,1,500,82.685
78,1,1000,75.059
78,1,1500,70.418
78,1,2000,66.991
78,1,2500,64.231
79,1,500,82.695
79,1,1000,75.076
79,1,1500,70.438
79,1,2000,67.012
79,1,2500,64.253
80,1,500,82.705
80,1,1000,75.092
80,1,1500,70.456
80,1,2000,67.032
80,1,2500,64.274
81,1,500,82.715
81,1,1000,75.109
81,1,1500,70.475
81,1,2000,67.052
81,1,2500,64.294
82,1,500,82.725
82,1,1000,75.124
82,1,1500,70.492
82,1,2000,67.070
82,1,2500,64.314
83,1,500,82.734
83,1,1000,75.139
83,1,1500,70.509
83,1,2000,67.089
83,1,2500,64.333
84,1,500,82.743
84,1,1000,75.154
84,1,1500,70.526
84,1,2000,67.107
84,1,2500,64.351
85,1,500,82.752
85,1,1000,75.169
85,1,1500,70.542
85,1,2000,67.124
85,1,2500,64.369
86,1,500,82.761
86,1,1000,75.183
86,1,1500,70.558
86,1,2000,67.140
86,1,2500,64.386
87,1,500,82.769
87,1,1000,75.197
87,1,1500,70.574
87,1,2000,67.157
87,1,2500,64.403
88,1,500,82.778
88,1,1000,75.210
88,1,1500,70.589
88,1,2000,67.172
88,1,2500,64.419
89,1,500,82.786
89,1,1000,75.223
89,1,1500,70.603
89,1,2000,67.188
89,1,2500,64.435
20,2,500,81.107
20,2,1000,71.893
20,2,1500,66.534
20,2,2000,62.650
20,2,2500,59.578
21,2,500,81.158
21,2,1000,72.053
21,2,1500,66.743
21,2,2000,62.890
21,2,2500,59.836
22,2,500,81.212
22,2,1000,72.204
22,2,1500,66.938
22,2,2000,63.114
22,2,2500,60.077
23,2,500,81.267
23,2,1000,72.348
23,2,1500,67.121
23,2,2000,63.324
23,2,2500,60.304
24,2,500,81.322
24,2,1000,72.484
24,2,1500,67.293
24,2,2000,63.520
24,2,2500,60.517
25,2,500,81.376
25,2,1000,72.613
25,2,1500,67.454
25,2,2000,63.705
25,2,2500,60.718
26,2,500,81.430
26,2,1000,72.735
26,2,1500,67.605
26,2,2000,63.877
26,2,2500,60.906
27,2,500,81.482
27,2,1000,72.850
27,2,1500,67.748
27,2,2000,64.039
27,2,2500,61.083
28,2,500,81.534
28,2,1000,72.960
28,2,1500,67.882
28,2,2000,64.191
28,2,2500,61.249
29,2,500,81.583
29,2,1000,73.064
29,2,1500,68.009
29,2,2000,64.334
29,2,2500,61.405
30,2,500,81.631
30,2,1000,73.163
30,2,1500,68.130
30,2,2000,64.469
30,2,2500,61.552
31,2,500,81.678
31,2,1000,73.256
31,2,1500,68.244
31,2,2000,64.596
31,2,2500,61.690
32,2,500,81.723
32,2,1000,73.345
32,2,1500,68.352
32,2,2000,64.716
32,2,2500,61.821
33,2,500,81.766
33,2,1000,73.430
33,2,1500,68.455
33,2,2000,64.830
33,2,2500,61.944
34,2,500,81.808
34,2,1000,73.511
34,2,1500,68.552
34,2,2000,64.938
34,2,2500,62.061
35,2,500,81.848
35,2,1000,73.588
35,2,1500,68.646
35,2,2000,65.041
35,2,2500,62.171
36,2,500,81.887
36,2,1000,73.661
36,2,1500,68.734
36,2,2000,65.138
36,2,2500,62.276
37,2,500,81.924
37,2,1000,73.731
37,2,1500,68.819
37,2,2000,65.231
37,2,2500,62.375
38,2,500,81.960
38,2,1000,73.797
38,2,1500,68.900
38,2,2000,65.320
38,2,2500,62.469
39,2,500,81.995
39,2,1000,73.861
39,2,1500,68.977
39,2,2000,65.404
39,2,2500,62.559
40,2,500,82.028
40,2,1000,73.921
40,2,1500,69.051
40,2,2000,65.485
40,2,2500,62.644
41,2,500,82.060
41,2,1000,73.979
41,2,1500,69.121
41,2,2000,65.562
41,2,2500,62.726
42,2,500,82.091
42,2,1000,74.035
42,2,1500,69.189
42,2,2000,65.636
42,2,2500,62.804
43,2,500,82.121
43,2,1000,74.088
43,2,1500,69.253
43,2,2000,65.706
43,2,2500,62.878
44,2,500,82.149
44,2,1000,74.139
44,2,1500,69.315
44,2,2000,65.774
44,2,2500,62.949
45,2,500,82.177
45,2,1000,74.187
45,2,1500,69.375
45,2,2000,65.839
45,2,2500,63.017
46,2,500,82.204
46,2,1000,74.234
46,2,1500,69.431
46,2,2000,65.901
46,2,2500,63.082
47,2,500,82.229
47,2,1000,74.279
47,2,1500,69.486
47,2,2000,65.961
47,2,2500,63.145
48,2,500,82.254
48,2,1000,74.322
48,2,1500,69.538
48,2,2000,66.018
48,2,2500,63.204
49,2,500,82.278
49,2,1000,74.363
49,2,1500,69.588
49,2,2000,66.073
49,2,2500,63.262
50,2,500,82.301
50,2,1000,74.403
50,2,1500,69.636
50,2,2000,66.126
50,2,2500,63.317
51,2,500,82.323
51,2,1000,74.442
51,2,1500,69.683
51,2,2000,66.177
51,2,2500,63.370
52,2,500,82.345
52,2,1000,74.479
52,2,1500,69.727
52,2,2000,66.226
52,2,2500,63.421
53,2,500,82.366
53,2,1000,74.514
53,2,1500,69.770
53,2,2000,66.272
53,2,2500,63.470
54,2,500,82.386
54,2,1000,74.548
54,2,1500,69.811
54,2,2000,66.318
54,2,2500,63.517
55,2,500,82.405
55,2,1000,74.582
55,2,1500,69.850
55,2,2000,66.361
55,2,2500,63.563
56,2,500,82.424
56,2,1000,74.613
56,2,1500,69.888
56,2,2000,66.403
56,2,2500,63.606
57,2,500,82.442
57,2,1000,74.644
57,2,1500,69.925
57,2,2000,66.443
57,2,2500,63.648
58,2,500,82.460
58,2,1000,74.674
58,2,1500,69.960
58,2,2000,66.482
58,2,2500,63.689
59,2,500,82.477
59,2,1000,74.703
59,2,1500,69.994
59,2,2000,66.519
59,2,2500,63.728
60,2,500,82.493
60,2,1000,74.731
60,2,1500,70.027
60,2,2000,66.555
60,2,2500,63.765
61,2,500,82.510
61,2,1000,74.758
61,2,1500,70.059
61,2,2000,66.590
61,2,2500,63.801
62,2,500,82.525
62,2,1000,74.784
62,2,1500,70.089
62,2,2000,66.623
62,2,2500,63.836
63,2,500,82.540
63,2,1000,74.809
63,2,1500,70.119
63,2,2000,66.655
63,2,2500,63.870
64,2,500,82.555
64,2,1000,74.833
64,2,1500,70.147
64,2,2000,66.687
64,2,2500,63.902
65,2,500,82.569
65,2,1000,74.857
65,2,1500,70.175
65,2,2000,66.716
65,2,2500,63.933
66,2,500,82.583
